OrderedDict({'activation': 'tanh', 'alpha': 0.0015246748254295628, 'batch_size': 512, 'layer1': 1316, 'layer2': 769, 'learning_rate': 'adaptive', 'learning_rate_init': 0.0005033414197773552, 'num_hl': 2, 'solver': 'adam'}) - -14.143914464153914
OrderedDict({'activation': 'tanh', 'alpha': 3.458409250279925e-05, 'batch_size': 512, 'layer1': 2000, 'layer2': 1000, 'learning_rate': 'adaptive', 'learning_rate_init': 0.01, 'num_hl': 2, 'solver': 'adam'}) - -31.308909863640526
OrderedDict({'activation': 'logistic', 'alpha': 1e-05, 'batch_size': 128, 'layer1': 2000, 'layer2': 1000, 'learning_rate': 'adaptive', 'learning_rate_init': 0.00023334186182776643, 'num_hl': 2, 'solver': 'sgd'}) - -14.017838816634537
OrderedDict({'activation': 'logistic', 'alpha': 1e-05, 'batch_size': 128, 'layer1': 2000, 'layer2': 1000, 'learning_rate': 'adaptive', 'learning_rate_init': 0.00021261336438256387, 'num_hl': 2, 'solver': 'sgd'}) - -14.121623792008696
OrderedDict({'activation': 'tanh', 'alpha': 0.0010822372733836894, 'batch_size': 512, 'layer1': 1088, 'layer2': 680, 'learning_rate': 'adaptive', 'learning_rate_init': 0.0004020930052875797, 'num_hl': 2, 'solver': 'adam'}) - -13.926967068250022
OrderedDict({'activation': 'tanh', 'alpha': 0.0004198318207255343, 'batch_size': 512, 'layer1': 1000, 'layer2': 554, 'learning_rate': 'adaptive', 'learning_rate_init': 0.0003819970561226309, 'num_hl': 2, 'solver': 'adam'}) - -13.916804588942043
OrderedDict({'activation': 'relu', 'alpha': 1e-05, 'batch_size': 8, 'layer1': 1000, 'layer2': 1000, 'learning_rate': 'adaptive', 'learning_rate_init': 0.01, 'num_hl': 2, 'solver': 'lbfgs'}) - -16.434347875685237
OrderedDict({'activation': 'logistic', 'alpha': 1e-05, 'batch_size': 128, 'layer1': 2000, 'layer2': 1000, 'learning_rate': 'adaptive', 'learning_rate_init': 0.0003137565410101137, 'num_hl': 2, 'solver': 'sgd'}) - -13.808928554841662
OrderedDict({'activation': 'logistic', 'alpha': 1e-05, 'batch_size': 128, 'layer1': 2000, 'layer2': 1000, 'learning_rate': 'adaptive', 'learning_rate_init': 0.0003445296097934583, 'num_hl': 2, 'solver': 'sgd'}) - -13.770836080448627
OrderedDict({'activation': 'logistic', 'alpha': 1e-05, 'batch_size': 128, 'layer1': 2000, 'layer2': 1000, 'learning_rate': 'adaptive', 'learning_rate_init': 0.0003869940749060679, 'num_hl': 2, 'solver': 'sgd'}) - -13.748856429818797
OrderedDict({'activation': 'logistic', 'alpha': 0.01, 'batch_size': 512, 'layer1': 2000, 'layer2': 1000, 'learning_rate': 'adaptive', 'learning_rate_init': 0.001118108321010777, 'num_hl': 1, 'solver': 'adam'}) - -13.883973866044489
OrderedDict({'activation': 'tanh', 'alpha': 1e-05, 'batch_size': 128, 'layer1': 2000, 'layer2': 850, 'learning_rate': 'adaptive', 'learning_rate_init': 0.00041141247724364776, 'num_hl': 2, 'solver': 'adam'}) - -14.434036211776109
OrderedDict({'activation': 'tanh', 'alpha': 0.01, 'batch_size': 512, 'layer1': 1248, 'layer2': 802, 'learning_rate': 'adaptive', 'learning_rate_init': 0.00020169793968591836, 'num_hl': 2, 'solver': 'adam'}) - -13.939890416593125
OrderedDict({'activation': 'logistic', 'alpha': 1.1129011822757293e-05, 'batch_size': 128, 'layer1': 1999, 'layer2': 919, 'learning_rate': 'adaptive', 'learning_rate_init': 0.0006911409957824322, 'num_hl': 2, 'solver': 'sgd'}) - -13.364866967816303
OrderedDict({'activation': 'logistic', 'alpha': 1.323818662106868e-05, 'batch_size': 128, 'layer1': 1997, 'layer2': 776, 'learning_rate': 'adaptive', 'learning_rate_init': 0.001423959789192145, 'num_hl': 2, 'solver': 'sgd'}) - -14.30117736794764
OrderedDict({'activation': 'logistic', 'alpha': 1.0012898262968387e-05, 'batch_size': 128, 'layer1': 1999, 'layer2': 946, 'learning_rate': 'adaptive', 'learning_rate_init': 0.001141525785761755, 'num_hl': 2, 'solver': 'sgd'}) - -14.023222755936052
OrderedDict({'activation': 'logistic', 'alpha': 1.000155006010946e-05, 'batch_size': 128, 'layer1': 1999, 'layer2': 905, 'learning_rate': 'adaptive', 'learning_rate_init': 0.0006111809383242704, 'num_hl': 2, 'solver': 'sgd'}) - -13.374659917785849
OrderedDict({'activation': 'logistic', 'alpha': 1.2350381741445199e-05, 'batch_size': 128, 'layer1': 1998, 'layer2': 910, 'learning_rate': 'adaptive', 'learning_rate_init': 0.0006350332905958406, 'num_hl': 2, 'solver': 'sgd'}) - -13.314481749694753
OrderedDict({'activation': 'logistic', 'alpha': 4.7723678262435505e-05, 'batch_size': 128, 'layer1': 1991, 'layer2': 862, 'learning_rate': 'adaptive', 'learning_rate_init': 0.0006429052672680192, 'num_hl': 2, 'solver': 'sgd'}) - -13.260045218111904
OrderedDict({'activation': 'logistic', 'alpha': 0.01, 'batch_size': 128, 'layer1': 1961, 'layer2': 639, 'learning_rate': 'adaptive', 'learning_rate_init': 0.0006471718258312283, 'num_hl': 2, 'solver': 'sgd'}) - -13.55211442996199
OrderedDict({'activation': 'logistic', 'alpha': 0.0001311218487908991, 'batch_size': 128, 'layer1': 1557, 'layer2': 300, 'learning_rate': 'constant', 'learning_rate_init': 0.0006478981052791713, 'num_hl': 2, 'solver': 'sgd'}) - -13.366401632528348
OrderedDict({'activation': 'logistic', 'alpha': 0.01, 'batch_size': 256, 'layer1': 2000, 'layer2': 1000, 'learning_rate': 'adaptive', 'learning_rate_init': 0.0016219708066475469, 'num_hl': 1, 'solver': 'adam'}) - -13.688366965456812
OrderedDict({'activation': 'logistic', 'alpha': 0.01, 'batch_size': 256, 'layer1': 1757, 'layer2': 1000, 'learning_rate': 'adaptive', 'learning_rate_init': 0.005504341951866373, 'num_hl': 1, 'solver': 'adam'}) - -14.041470845493574
OrderedDict({'activation': 'tanh', 'alpha': 0.0006845298415388935, 'batch_size': 32, 'layer1': 1000, 'layer2': 497, 'learning_rate': 'adaptive', 'learning_rate_init': 0.0005554204696419206, 'num_hl': 1, 'solver': 'sgd'}) - -15.662694430878512
OrderedDict({'activation': 'logistic', 'alpha': 1.0006870417281334e-05, 'batch_size': 32, 'layer1': 1313, 'layer2': 413, 'learning_rate': 'adaptive', 'learning_rate_init': 0.0022517428746119837, 'num_hl': 1, 'solver': 'sgd'}) - -15.780128676397277
OrderedDict({'activation': 'relu', 'alpha': 1e-05, 'batch_size': 128, 'layer1': 2000, 'layer2': 671, 'learning_rate': 'adaptive', 'learning_rate_init': 0.0001, 'num_hl': 2, 'solver': 'adam'}) - -15.196539606036819
OrderedDict({'activation': 'logistic', 'alpha': 0.00577044340959292, 'batch_size': 128, 'layer1': 1691, 'layer2': 709, 'learning_rate': 'constant', 'learning_rate_init': 0.004947952040597183, 'num_hl': 1, 'solver': 'lbfgs'}) - -17.19937815068039
OrderedDict({'activation': 'relu', 'alpha': 0.01, 'batch_size': 256, 'layer1': 2000, 'layer2': 1000, 'learning_rate': 'constant', 'learning_rate_init': 0.0001, 'num_hl': 1, 'solver': 'sgd'}) - -14.943812469269869
OrderedDict({'activation': 'relu', 'alpha': 0.01, 'batch_size': 128, 'layer1': 2000, 'layer2': 1000, 'learning_rate': 'adaptive', 'learning_rate_init': 0.0014954311028359125, 'num_hl': 2, 'solver': 'lbfgs'}) - -16.50834779214646
OrderedDict({'activation': 'logistic', 'alpha': 0.00010627118671392881, 'batch_size': 128, 'layer1': 1921, 'layer2': 905, 'learning_rate': 'adaptive', 'learning_rate_init': 0.0006432825896735411, 'num_hl': 2, 'solver': 'sgd'}) - -13.388667127353376
OrderedDict({'activation': 'logistic', 'alpha': 3.9520695935719366e-05, 'batch_size': 32, 'layer1': 1177, 'layer2': 311, 'learning_rate': 'adaptive', 'learning_rate_init': 0.0002611618663673326, 'num_hl': 2, 'solver': 'sgd'}) - -13.586914728752927
OrderedDict({'activation': 'logistic', 'alpha': 1e-05, 'batch_size': 32, 'layer1': 1055, 'layer2': 300, 'learning_rate': 'constant', 'learning_rate_init': 0.0006047951116421954, 'num_hl': 2, 'solver': 'sgd'}) - -15.190073222071245
OrderedDict({'activation': 'relu', 'alpha': 1e-05, 'batch_size': 256, 'layer1': 2000, 'layer2': 1000, 'learning_rate': 'adaptive', 'learning_rate_init': 0.0018743534099407782, 'num_hl': 2, 'solver': 'adam'}) - -15.38828640268811
OrderedDict({'activation': 'logistic', 'alpha': 1e-05, 'batch_size': 256, 'layer1': 1000, 'layer2': 300, 'learning_rate': 'adaptive', 'learning_rate_init': 0.00020964787009010013, 'num_hl': 2, 'solver': 'sgd'}) - -14.222583562084163
OrderedDict({'activation': 'logistic', 'alpha': 1e-05, 'batch_size': 32, 'layer1': 1027, 'layer2': 300, 'learning_rate': 'constant', 'learning_rate_init': 0.00015603214769031388, 'num_hl': 2, 'solver': 'sgd'}) - -13.241145787428769
OrderedDict({'activation': 'relu', 'alpha': 1e-05, 'batch_size': 128, 'layer1': 2000, 'layer2': 1000, 'learning_rate': 'constant', 'learning_rate_init': 0.001550191789118083, 'num_hl': 1, 'solver': 'adam'}) - -15.48416596203524
OrderedDict({'activation': 'logistic', 'alpha': 3.249643885566297e-05, 'batch_size': 128, 'layer1': 1764, 'layer2': 300, 'learning_rate': 'constant', 'learning_rate_init': 0.0006364203255725388, 'num_hl': 2, 'solver': 'sgd'}) - -13.282042412880466
OrderedDict({'activation': 'logistic', 'alpha': 1e-05, 'batch_size': 32, 'layer1': 2000, 'layer2': 300, 'learning_rate': 'constant', 'learning_rate_init': 0.0001599853960426453, 'num_hl': 2, 'solver': 'sgd'}) - -13.45911820765717
OrderedDict({'activation': 'logistic', 'alpha': 1e-05, 'batch_size': 128, 'layer1': 1000, 'layer2': 300, 'learning_rate': 'constant', 'learning_rate_init': 0.0014747894516248352, 'num_hl': 1, 'solver': 'sgd'}) - -14.358257792180293
OrderedDict({'activation': 'logistic', 'alpha': 0.000164614591859332, 'batch_size': 128, 'layer1': 1341, 'layer2': 388, 'learning_rate': 'adaptive', 'learning_rate_init': 0.0007979610065542568, 'num_hl': 1, 'solver': 'sgd'}) - -13.362700257995499
OrderedDict({'activation': 'logistic', 'alpha': 0.01, 'batch_size': 128, 'layer1': 1002, 'layer2': 300, 'learning_rate': 'adaptive', 'learning_rate_init': 0.0014830868808367239, 'num_hl': 2, 'solver': 'sgd'}) - -14.393282302064346
OrderedDict({'activation': 'logistic', 'alpha': 0.01, 'batch_size': 32, 'layer1': 1000, 'layer2': 984, 'learning_rate': 'adaptive', 'learning_rate_init': 0.00015746965534294956, 'num_hl': 1, 'solver': 'sgd'}) - -13.435112134571455
OrderedDict({'activation': 'logistic', 'alpha': 1e-05, 'batch_size': 32, 'layer1': 1000, 'layer2': 300, 'learning_rate': 'constant', 'learning_rate_init': 0.00017887433273297513, 'num_hl': 2, 'solver': 'sgd'}) - -13.404213186345359
OrderedDict({'activation': 'logistic', 'alpha': 1e-05, 'batch_size': 32, 'layer1': 1000, 'layer2': 300, 'learning_rate': 'invscaling', 'learning_rate_init': 0.0001281051964319626, 'num_hl': 1, 'solver': 'sgd'}) - -15.96575793845631
OrderedDict({'activation': 'relu', 'alpha': 1.819916241614001e-05, 'batch_size': 512, 'layer1': 1494, 'layer2': 910, 'learning_rate': 'invscaling', 'learning_rate_init': 0.01, 'num_hl': 2, 'solver': 'lbfgs'}) - -16.485381381864904
OrderedDict({'activation': 'relu', 'alpha': 0.01, 'batch_size': 512, 'layer1': 1000, 'layer2': 300, 'learning_rate': 'invscaling', 'learning_rate_init': 0.00028461385357666196, 'num_hl': 2, 'solver': 'sgd'}) - -24.108928521222676
OrderedDict({'activation': 'logistic', 'alpha': 1e-05, 'batch_size': 128, 'layer1': 1000, 'layer2': 300, 'learning_rate': 'adaptive', 'learning_rate_init': 0.0012448878745701638, 'num_hl': 1, 'solver': 'adam'}) - -13.456356553387735
OrderedDict({'activation': 'logistic', 'alpha': 1e-05, 'batch_size': 128, 'layer1': 1000, 'layer2': 300, 'learning_rate': 'adaptive', 'learning_rate_init': 0.0007987492066641591, 'num_hl': 1, 'solver': 'adam'}) - -13.559489265360545
OrderedDict({'activation': 'logistic', 'alpha': 1e-05, 'batch_size': 32, 'layer1': 1000, 'layer2': 300, 'learning_rate': 'constant', 'learning_rate_init': 0.00012759689850021496, 'num_hl': 2, 'solver': 'sgd'}) - -13.359984027047469
OrderedDict({'activation': 'relu', 'alpha': 1e-05, 'batch_size': 32, 'layer1': 1020, 'layer2': 451, 'learning_rate': 'invscaling', 'learning_rate_init': 0.01, 'num_hl': 1, 'solver': 'adam'}) - -15.7496641423609
OrderedDict({'activation': 'logistic', 'alpha': 1e-05, 'batch_size': 128, 'layer1': 1000, 'layer2': 300, 'learning_rate': 'adaptive', 'learning_rate_init': 0.0015933501591166345, 'num_hl': 1, 'solver': 'adam'}) - -13.448036986496259
OrderedDict({'activation': 'logistic', 'alpha': 1e-05, 'batch_size': 128, 'layer1': 1000, 'layer2': 300, 'learning_rate': 'adaptive', 'learning_rate_init': 0.0019391381539613024, 'num_hl': 2, 'solver': 'adam'}) - -15.261269751003914
OrderedDict({'activation': 'logistic', 'alpha': 1e-05, 'batch_size': 128, 'layer1': 1000, 'layer2': 300, 'learning_rate': 'adaptive', 'learning_rate_init': 0.0006428565566731516, 'num_hl': 1, 'solver': 'sgd'}) - -13.390683890775733
OrderedDict({'activation': 'tanh', 'alpha': 1e-05, 'batch_size': 512, 'layer1': 1000, 'layer2': 300, 'learning_rate': 'invscaling', 'learning_rate_init': 0.00026065163670446377, 'num_hl': 1, 'solver': 'adam'}) - -35.41077940333062
OrderedDict({'activation': 'logistic', 'alpha': 1e-05, 'batch_size': 32, 'layer1': 1000, 'layer2': 1000, 'learning_rate': 'adaptive', 'learning_rate_init': 0.0001524020261656404, 'num_hl': 2, 'solver': 'sgd'}) - -13.406731274123441
OrderedDict({'activation': 'logistic', 'alpha': 1e-05, 'batch_size': 32, 'layer1': 1000, 'layer2': 1000, 'learning_rate': 'adaptive', 'learning_rate_init': 0.00011017673197345076, 'num_hl': 1, 'solver': 'sgd'}) - -13.697358997615641
OrderedDict({'activation': 'logistic', 'alpha': 1e-05, 'batch_size': 128, 'layer1': 1000, 'layer2': 300, 'learning_rate': 'adaptive', 'learning_rate_init': 0.0013566196910249745, 'num_hl': 1, 'solver': 'sgd'}) - -14.127413296700883
OrderedDict({'activation': 'logistic', 'alpha': 1e-05, 'batch_size': 32, 'layer1': 1000, 'layer2': 300, 'learning_rate': 'adaptive', 'learning_rate_init': 0.01, 'num_hl': 1, 'solver': 'adam'}) - -15.259983488068068
OrderedDict({'activation': 'logistic', 'alpha': 1e-05, 'batch_size': 128, 'layer1': 1000, 'layer2': 300, 'learning_rate': 'adaptive', 'learning_rate_init': 0.0006004937651628936, 'num_hl': 2, 'solver': 'sgd'}) - -13.41255650674388
OrderedDict({'activation': 'logistic', 'alpha': 1e-05, 'batch_size': 128, 'layer1': 1303, 'layer2': 991, 'learning_rate': 'constant', 'learning_rate_init': 0.0005947371807417124, 'num_hl': 2, 'solver': 'sgd'}) - -13.446280331277245
OrderedDict({'activation': 'logistic', 'alpha': 1e-05, 'batch_size': 128, 'layer1': 2000, 'layer2': 300, 'learning_rate': 'adaptive', 'learning_rate_init': 0.0005823392243626416, 'num_hl': 1, 'solver': 'sgd'}) - -13.439670352570426
OrderedDict({'activation': 'relu', 'alpha': 1e-05, 'batch_size': 512, 'layer1': 1000, 'layer2': 300, 'learning_rate': 'adaptive', 'learning_rate_init': 0.0007784205225452401, 'num_hl': 1, 'solver': 'adam'}) - -16.781463463036445
OrderedDict({'activation': 'relu', 'alpha': 1e-05, 'batch_size': 128, 'layer1': 2000, 'layer2': 300, 'learning_rate': 'constant', 'learning_rate_init': 0.0006583559450939023, 'num_hl': 2, 'solver': 'sgd'}) - -15.6290029428243
OrderedDict({'activation': 'logistic', 'alpha': 0.00042346708788470317, 'batch_size': 32, 'layer1': 1000, 'layer2': 300, 'learning_rate': 'constant', 'learning_rate_init': 0.00015561629867166566, 'num_hl': 2, 'solver': 'sgd'}) - -13.308556311665802
OrderedDict({'activation': 'logistic', 'alpha': 1e-05, 'batch_size': 32, 'layer1': 1000, 'layer2': 300, 'learning_rate': 'constant', 'learning_rate_init': 0.0002322154314140556, 'num_hl': 2, 'solver': 'sgd'}) - -13.804702534135526
OrderedDict({'activation': 'logistic', 'alpha': 0.01, 'batch_size': 32, 'layer1': 1000, 'layer2': 300, 'learning_rate': 'adaptive', 'learning_rate_init': 0.00014417702288586475, 'num_hl': 2, 'solver': 'sgd'}) - -13.428226491896535
OrderedDict({'activation': 'logistic', 'alpha': 1e-05, 'batch_size': 32, 'layer1': 1000, 'layer2': 300, 'learning_rate': 'constant', 'learning_rate_init': 0.00013343858884915584, 'num_hl': 1, 'solver': 'adam'}) - -13.902967408306452
OrderedDict({'activation': 'relu', 'alpha': 1e-05, 'batch_size': 8, 'layer1': 1000, 'layer2': 300, 'learning_rate': 'constant', 'learning_rate_init': 0.0001, 'num_hl': 2, 'solver': 'adam'}) - -15.696195650972797
OrderedDict({'activation': 'relu', 'alpha': 1e-05, 'batch_size': 128, 'layer1': 2000, 'layer2': 300, 'learning_rate': 'adaptive', 'learning_rate_init': 0.0001, 'num_hl': 2, 'solver': 'adam'}) - -14.963810824173544
OrderedDict({'activation': 'relu', 'alpha': 1e-05, 'batch_size': 8, 'layer1': 2000, 'layer2': 300, 'learning_rate': 'adaptive', 'learning_rate_init': 0.0001, 'num_hl': 2, 'solver': 'adam'}) - -15.61260996402568
OrderedDict({'activation': 'tanh', 'alpha': 1.3789518189618354e-05, 'batch_size': 512, 'layer1': 1871, 'layer2': 484, 'learning_rate': 'constant', 'learning_rate_init': 0.004308678975642295, 'num_hl': 1, 'solver': 'sgd'}) - -15.594967985967708
OrderedDict({'activation': 'logistic', 'alpha': 0.0017748834442796583, 'batch_size': 512, 'layer1': 1353, 'layer2': 335, 'learning_rate': 'constant', 'learning_rate_init': 0.0014207994825123432, 'num_hl': 1, 'solver': 'sgd'}) - -13.82207255962658
OrderedDict({'activation': 'tanh', 'alpha': 0.01, 'batch_size': 8, 'layer1': 1626, 'layer2': 1000, 'learning_rate': 'invscaling', 'learning_rate_init': 0.01, 'num_hl': 2, 'solver': 'sgd'}) - -3.7655229683855974e+116
OrderedDict({'activation': 'tanh', 'alpha': 7.191344742749298e-05, 'batch_size': 32, 'layer1': 1739, 'layer2': 710, 'learning_rate': 'constant', 'learning_rate_init': 0.0013306817964923762, 'num_hl': 1, 'solver': 'sgd'}) - -15.439596043650747
OrderedDict({'activation': 'logistic', 'alpha': 0.00020125193923371503, 'batch_size': 128, 'layer1': 1527, 'layer2': 641, 'learning_rate': 'adaptive', 'learning_rate_init': 0.0006833578128853328, 'num_hl': 1, 'solver': 'adam'}) - -13.698197918128361
OrderedDict({'activation': 'logistic', 'alpha': 0.00015554181299874093, 'batch_size': 32, 'layer1': 1498, 'layer2': 604, 'learning_rate': 'adaptive', 'learning_rate_init': 0.0006638778459401218, 'num_hl': 1, 'solver': 'sgd'}) - -15.52614856435917
OrderedDict({'activation': 'logistic', 'alpha': 0.00014773344229011506, 'batch_size': 128, 'layer1': 1546, 'layer2': 635, 'learning_rate': 'adaptive', 'learning_rate_init': 0.0007104924464621313, 'num_hl': 2, 'solver': 'sgd'}) - -13.391148409436585
OrderedDict({'activation': 'logistic', 'alpha': 0.00015125833382740946, 'batch_size': 128, 'layer1': 1541, 'layer2': 632, 'learning_rate': 'adaptive', 'learning_rate_init': 0.0007054092515767997, 'num_hl': 2, 'solver': 'sgd'}) - -13.367780814252816
OrderedDict({'activation': 'logistic', 'alpha': 0.00017507540179614476, 'batch_size': 128, 'layer1': 1444, 'layer2': 584, 'learning_rate': 'adaptive', 'learning_rate_init': 0.0006817446626491993, 'num_hl': 1, 'solver': 'sgd'}) - -13.369540474744237
OrderedDict({'activation': 'logistic', 'alpha': 0.00015327669146128107, 'batch_size': 128, 'layer1': 1518, 'layer2': 628, 'learning_rate': 'adaptive', 'learning_rate_init': 0.0006997574891030004, 'num_hl': 1, 'solver': 'sgd'}) - -13.373510149645082
OrderedDict({'activation': 'logistic', 'alpha': 5.2067203711525365e-05, 'batch_size': 32, 'layer1': 1490, 'layer2': 709, 'learning_rate': 'adaptive', 'learning_rate_init': 0.0005787294493567286, 'num_hl': 2, 'solver': 'sgd'}) - -15.459053742593682
OrderedDict({'activation': 'logistic', 'alpha': 0.0002701765590805656, 'batch_size': 32, 'layer1': 1495, 'layer2': 646, 'learning_rate': 'adaptive', 'learning_rate_init': 0.0006414123698058362, 'num_hl': 1, 'solver': 'adam'}) - -13.509702383905758
OrderedDict({'activation': 'logistic', 'alpha': 0.0001468509159916273, 'batch_size': 128, 'layer1': 1730, 'layer2': 729, 'learning_rate': 'adaptive', 'learning_rate_init': 0.0010320830929368878, 'num_hl': 2, 'solver': 'sgd'}) - -13.882243449415949
OrderedDict({'activation': 'logistic', 'alpha': 0.0001579229718128721, 'batch_size': 128, 'layer1': 1504, 'layer2': 623, 'learning_rate': 'adaptive', 'learning_rate_init': 0.0006731886044421698, 'num_hl': 1, 'solver': 'sgd'}) - -13.339647851406024
OrderedDict({'activation': 'logistic', 'alpha': 0.00011155324875177801, 'batch_size': 32, 'layer1': 1429, 'layer2': 576, 'learning_rate': 'constant', 'learning_rate_init': 0.0004682433113473475, 'num_hl': 2, 'solver': 'sgd'}) - -15.136543765941315
OrderedDict({'activation': 'logistic', 'alpha': 0.00010454741144127625, 'batch_size': 128, 'layer1': 1503, 'layer2': 628, 'learning_rate': 'adaptive', 'learning_rate_init': 0.0008686275842631544, 'num_hl': 2, 'solver': 'adam'}) - -14.538215334704883
OrderedDict({'activation': 'logistic', 'alpha': 0.0001548565344719003, 'batch_size': 32, 'layer1': 1435, 'layer2': 655, 'learning_rate': 'adaptive', 'learning_rate_init': 0.0005188876462159372, 'num_hl': 2, 'solver': 'sgd'}) - -15.559749690415348
OrderedDict({'activation': 'logistic', 'alpha': 8.963535585015582e-05, 'batch_size': 128, 'layer1': 1374, 'layer2': 705, 'learning_rate': 'adaptive', 'learning_rate_init': 0.00048706671803060543, 'num_hl': 2, 'solver': 'sgd'}) - -13.447875031984506
OrderedDict({'activation': 'logistic', 'alpha': 0.00014947612731355792, 'batch_size': 32, 'layer1': 1454, 'layer2': 651, 'learning_rate': 'adaptive', 'learning_rate_init': 0.0008827820009334521, 'num_hl': 1, 'solver': 'adam'}) - -13.5521876212564
OrderedDict({'activation': 'logistic', 'alpha': 3.728880301285452e-05, 'batch_size': 32, 'layer1': 1457, 'layer2': 666, 'learning_rate': 'constant', 'learning_rate_init': 0.0012961912594185092, 'num_hl': 2, 'solver': 'sgd'}) - -15.591799881848265
OrderedDict({'activation': 'logistic', 'alpha': 0.0002122334646584849, 'batch_size': 128, 'layer1': 1509, 'layer2': 704, 'learning_rate': 'adaptive', 'learning_rate_init': 0.0010876034973676548, 'num_hl': 2, 'solver': 'sgd'}) - -14.347789316944205
OrderedDict({'activation': 'logistic', 'alpha': 0.0001346223044852211, 'batch_size': 512, 'layer1': 1572, 'layer2': 665, 'learning_rate': 'constant', 'learning_rate_init': 0.000740561811004058, 'num_hl': 1, 'solver': 'adam'}) - -14.051008672129765
OrderedDict({'activation': 'logistic', 'alpha': 9.213694855115842e-05, 'batch_size': 128, 'layer1': 1499, 'layer2': 610, 'learning_rate': 'adaptive', 'learning_rate_init': 0.0005284176311603066, 'num_hl': 2, 'solver': 'sgd'}) - -13.31382667574015
